name,position,prediction_season,predicted_goals_per_match,actual_goals_per_match
Fabian   Böhm  ,Left Back,2015/2016,3.750114741414241,4.575757575757576
Fabian   Böhm  ,Left Back,2016/2017,3.9838957350811173,3.393939393939394
Fabian   Böhm  ,Left Back,2017/2018,3.1085290693653165,2.1875
Steffen  Coßbau ,Left Wing,2016/2017,2.672890426351007,3.9393939393939394
Andrzej Rojewski ,Right Back,2012/2013,3.247476347231765,4.24
Andrzej Rojewski ,Right Back,2013/2014,3.7543581857401613,2.588235294117647
Andrzej Rojewski ,Right Back,2014/2015,2.7801655117975943,3.7142857142857144
Andrzej Rojewski ,Right Back,2015/2016,3.13954791464019,1.5625
Andrzej Rojewski ,Right Back,2016/2017,2.3698726200319515,3.5625
Andrzej Rojewski ,Right Back,2017/2018,3.13954791464019,3.3214285714285716
Fabian  van Olphen ,Back,2012/2013,2.9757533690748814,2.466666666666667
Fabian  van Olphen ,Back,2013/2014,2.26330144305841,1.6774193548387097
Fabian  van Olphen ,Back,2014/2015,1.9270487476443408,1.5833333333333333
Fabian  van Olphen ,Back,2015/2016,1.8564232110397931,0.4
Fabian  van Olphen ,Back,2016/2017,1.346046620700902,0.4375
Fabian  van Olphen ,Back,2017/2018,0.8053858054983498,1.71875
Yves  Grafenhorst ,Left Wing,2012/2013,3.32441693687619,3.3870967741935485
Yves  Grafenhorst ,Left Wing,2013/2014,3.271712536148636,2.761904761904762
Yves  Grafenhorst ,Left Wing,2014/2015,2.716649718622526,2.5714285714285716
Yves  Grafenhorst ,Left Wing,2015/2016,2.627227304938279,2.5652173913043477
Yves  Grafenhorst ,Left Wing,2016/2017,2.5862074027993955,2.0833333333333335
Yves  Grafenhorst ,Left Wing,2017/2018,2.1593840625431864,0.0
Stian  Tönnesen ,Middle Back,2012/2013,2.672890426351007,1.7096774193548387
Robert  Weber ,Right Back,2012/2013,3.606239455168306,5.419354838709677
Robert  Weber ,Right Back,2013/2014,4.289761944888816,7.117647058823529
Robert  Weber ,Right Back,2014/2015,5.188194825673133,7.527777777777778
Robert  Weber ,Right Back,2015/2016,5.908860336505706,6.852941176470588
Robert  Weber ,Right Back,2016/2017,5.908860336505706,6.257142857142857
Robert  Weber ,Right Back,2017/2018,5.344872592048187,5.121212121212121
Bartosz  Jurecki ,Line Player,2012/2013,2.8140299476307753,2.806451612903226
Bartosz  Jurecki ,Line Player,2013/2014,2.6290603521871287,2.3666666666666667
Bartosz  Jurecki ,Line Player,2014/2015,2.2382542192267763,1.8333333333333333
Mario  Clößner ,Line Player,2012/2013,1.514630637681482,0.4444444444444444
Mario  Clößner ,Line Player,2013/2014,0.756559308935355,0.0
Chen  Pomeranz ,Left Back,2014/2015,4.1607189374752185,3.8333333333333335
Malte  Schröder ,Right Back,2012/2013,1.87981046134367,2.5652173913043477
Malte  Schröder ,Right Back,2013/2014,2.5862074027993955,1.4375
Malte  Schröder ,Right Back,2014/2015,1.87981046134367,1.4166666666666667
Malte  Schröder ,Right Back,2015/2016,1.8477514720162307,0.6
Malte  Schröder ,Right Back,2016/2017,1.6932851796510735,2.3
Malte  Schröder ,Right Back,2017/2018,1.9886993511895632,0.6
Roland   Schlinger  ,Left Back,2012/2013,3.974806382476808,1.84
Roland   Schlinger  ,Left Back,2013/2014,2.50670958557024,2.5172413793103448
Roland   Schlinger  ,Left Back,2014/2015,2.4670325574682908,3.96875
Roland   Schlinger  ,Left Back,2015/2016,3.2760399285899147,2.6551724137931036
Roland   Schlinger  ,Left Back,2016/2017,2.716649718622526,3.263157894736842
Felix  König ,Left Back,2012/2013,1.935989590364843,2.6875
Felix  König ,Left Back,2013/2014,2.672890426351007,1.2647058823529411
Felix  König ,Left Back,2014/2015,1.9132895121090332,1.1481481481481481
Felix  König ,Left Back,2015/2016,1.749033832810855,0.5
Felix  König ,Left Back,2016/2017,1.4342329531533413,1.7692307692307692
Felix  König ,Left Back,2017/2018,1.7416210711377633,2.1142857142857143
Felix  Lobedank,Right Back,2012/2013,2.2466498305165716,1.68
Felix  Lobedank,Right Back,2013/2014,1.9270487476443408,2.7058823529411766
Felix  Lobedank,Right Back,2014/2015,2.672890426351007,1.7575757575757576
Felix  Lobedank,Right Back,2015/2016,1.960527798409704,1.8095238095238095
Felix  Lobedank,Right Back,2016/2017,1.8564232110397931,1.7692307692307692
Felix  Lobedank,Right Back,2017/2018,1.8564232110397931,0.7
Benjamin  Herth ,Middle Back,2012/2013,3.602546467081294,5.241379310344827
Benjamin  Herth ,Middle Back,2013/2014,4.194784827955997,3.2058823529411766
